date,price
2000-01-01,100.0
2000-01-02,100.50494073461493
2000-01-03,99.62655649460618
2000-01-04,100.62203575112451
2000-01-05,100.10293859655906
2000-01-06,100.49016310952574
2000-01-07,101.47513764926236
2000-01-08,100.50411295985822
2000-01-09,100.2113301512969
2000-01-10,99.93266730130775
2000-01-11,99.70634966326357
2000-01-12,99.5348186174566
2000-01-13,99.28744141155184
2000-01-14,99.8861942410453
2000-01-15,100.73758060905247
2000-01-16,101.03826071544533
2000-01-17,100.21297978729902
2000-01-18,100.07577282334917
2000-01-19,99.64099242035401
2000-01-20,99.42078127579357
2000-01-21,99.59315377152676
2000-01-22,99.23312913426152
2000-01-23,98.82287588320652
2000-01-24,98.15688135286648
2000-01-25,98.4387015618323
2000-01-26,98.60854435849889
2000-01-27,99.10323915925622
2000-01-28,98.35738362292031
2000-01-29,97.98040500315321
2000-01-30,97.90942653236561
2000-01-31,97.6839344570155
2000-02-01,97.33644575172784
2000-02-02,97.46288008078588
2000-02-03,97.30275381907425
2000-02-04,97.76364148790722
2000-02-05,97.48270363011723
2000-02-06,97.98576098622502
2000-02-07,97.98774482460334
2000-02-08,97.8318011962678
2000-02-09,97.78154712599174
2000-02-10,97.56079732325186
2000-02-11,96.87861616813916
2000-02-12,96.92066848700927
2000-02-13,96.85946661860847
2000-02-14,96.97900301619099
2000-02-15,97.29616704896829
2000-02-16,97.10880054086033
2000-02-17,97.22151473272872
2000-02-18,97.09119110261514
2000-02-19,97.13310455901339
2000-02-20,97.13675293145346
2000-02-21,96.81807922289003
2000-02-22,97.04750986633717
2000-02-23,96.74069519951455
2000-02-24,96.63643518915191
2000-02-25,96.69021701232681
2000-02-26,96.56875917730594
2000-02-27,96.6396292173462
2000-02-28,97.26965335357988
2000-02-29,97.34829596365114
2000-03-01,97.40943206489759
2000-03-02,97.54370457546408
2000-03-03,97.64349276223417
2000-03-04,97.30351641584797
2000-03-05,96.89340818093976
2000-03-06,97.18882630852748
2000-03-07,96.89893553782038
2000-03-08,96.47643046404781
2000-03-09,96.81068362923989
2000-03-10,96.81365860283381
2000-03-11,96.31680942296376
2000-03-12,95.9976154763096
